date,Revenue
2000Q1,2161.6
2000Q2,2272.7
2000Q3,2636.7
2000Q4,2198.7
2001Q1,2170.1
2001Q2,2483.3
2001Q3,2613.7
2001Q4,2336.8
2002Q1,2260.3
2002Q2,2682.2
2002Q3,2796.3
2002Q4,2514.7
2003Q1,2400.9
2003Q2,2985.1
2003Q3,3024.8999
2003Q4,2837.1001
2004Q1,2904
2004Q2,3487.1
2004Q3,3561.8
2004Q4,3148.3
2005Q1,3308.2
2005Q2,3721.3999
2005Q3,3862
2005Q4,3474.7
2006Q1,3612.8
2006Q2,4005.3999
2006Q3,4194.1
2006Q4,3821.7
2007Q1,3926.9
2007Q2,4383.2
2007Q3,4655.1
2007Q4,4339.5
2008Q1,4544.4
2008Q2,5088
2008Q3,5432.2
2008Q4,4590.1
2009Q1,4440.8
2009Q2,4713
2009Q3,4798.5
2009Q4,4405.6
2010Q1,4733
2010Q2,5076.9
2010Q3,5175
2010Q4,4842
2011Q1,5079
2011Q2,5766
2011Q3,6081
2011Q4,5546
2012Q1,5656
2012Q2,6236
2012Q3,6474
2012Q4,5955
2013Q1,6187
2013Q2,6697
2013Q3,6971
2013Q4,6431
2014Q1,6972
2014Q2,7425
2014Q3,7982
2014Q4,7380
2015Q1,7460
2015Q2,7779
2015Q3,8414
2015Q4,7686
2016Q1,8032
2016Q2,8244
2016Q3,9061
2016Q4,8180
2017Q1,8432
